Main Effects
Parameters2&26:	    0.8158[2.0419]
Parameters2&27:	    1.0345[2.3655]
Parameters2&28:	    0.8039[2.0836]
Parameters2&29:	    0.5835[1.9343]
Parameters2&30:	    1.2856[2.6933]
Parameters2&31:	    1.1551[2.2979]
Parameters2&32:	    3.0798[4.0168]
Parameters2&33:	    0.5361[1.8742]
Parameters2&34:	    0.8431[2.1625]
Parameters2&35:	    3.5425[3.8478]
Parameters2&36:	    0.6321[2.0183]
Parameters2&37:	    0.9769[2.2464]
Parameters2&38:	    1.1700[2.3410]
Parameters2&39:	    0.6928[1.9984]
Parameters2&40:	    0.1858[1.4951]
Parameters2&41:	    1.4703[2.7580]
Parameters2&42:	    1.9673[2.8500]
Parameters2&43:	    0.8580[2.1326]
Parameters2&44:	    0.4893[1.7993]
Parameters2&45:	    0.9429[2.8234]
Parameters2&46:	    1.2003[2.7838]
Parameters2&47:	    0.7599[2.3243]
Parameters2&48:	    0.5256[1.9414]
Parameters2&49:	    1.4232[2.6768]
Parameters2&50:	    2.6534[3.3068]
Parameters2&51:	    0.8769[2.2214]
Parameters2&52:	    0.8957[2.1614]
Parameters2&53:	    0.5819[1.9353]
Parameters2&54:	    0.2758[1.7181]
Parameters2&55:	    0.4555[1.8044]
Parameters2&56:	    0.0129[1.2176]
Parameters2&57:	    0.3177[1.7640]
Parameters2&58:	    3.0684[3.4922]
Parameters2&59:	    0.3127[1.5169]
Parameters2&60:	    0.1490[1.7142]
Parameters2&61:	    0.4452[1.7164]
Parameters2&62:	    2.4251[3.7677]
Parameters2&63:	    0.1363[1.4563]
Parameters2&64:	    0.7191[2.0065]
Parameters2&65:	    0.5915[2.0859]
Parameters2&66:	    1.0880[2.3343]
Parameters2&67:	    0.2969[1.6942]
Parameters2&68:	    0.5288[1.7627]
Parameters2&69:	    1.1450[2.3857]
Parameters2&70:	    0.1954[1.4009]
Parameters2&71:	    0.0920[1.4169]
Parameters2&72:	    1.2623[2.5248]
Parameters2&73:	    0.2198[1.4733]
Parameters2&74:	    1.3986[2.6897]
Parameters2&75:	    0.4312[1.6458]
Parameters2&76:	    1.5514[2.5657]
Parameters2&77:	    0.5748[1.8413]
Parameters2&78:	    0.7161[2.0444]
Parameters2&79:	    0.9460[2.3260]
Parameters2&80:	    0.1801[1.5421]
Parameters2&81:	    0.1205[1.4852]
Parameters2&82:	    0.8077[2.2997]
Parameters2&83:	    0.2950[1.6164]
Parameters2&84:	    0.2671[1.6159]
Parameters2&85:	    0.4306[1.7060]
Parameters2&86:	    0.5695[1.9097]
Parameters2&87:	    0.8222[2.3414]
Parameters2&88:	    1.2381[2.6007]
Parameters2&89:	    0.3162[1.6835]
Parameters2&90:	    0.2877[1.4744]
Parameters2&91:	    0.9416[2.2117]
Parameters2&92:	    0.6789[2.0348]
Parameters2&93:	    0.3183[1.6538]
Parameters2&94:	    0.1149[1.4669]
Parameters2&95:	    0.5582[1.8107]
Parameters2&96:	    1.3142[2.4070]
Parameters2&97:	    0.3762[1.8112]
Parameters2&98:	    0.1804[1.3052]
Parameters2&99:	    0.2753[1.6843]
Parameters2&100:	    0.9725[2.0313]
Parameters2&101:	    1.1246[2.3727]
Parameters2&102:	    1.2140[2.4413]
Parameters2&103:	    0.6047[1.8921]
Parameters3&4:	    0.0263[1.2247]
Parameters3&5:	    1.4499[2.8971]
Parameters3&6:	    1.4318[2.7216]
Parameters3&7:	    0.9372[2.1196]
Parameters3&8:	    0.4680[1.6394]
Parameters3&9:	    2.2750[3.1135]
Parameters3&10:	    1.3936[2.5237]
Parameters3&11:	    0.1920[1.6246]
Parameters3&12:	    1.4006[2.8562]
Parameters3&13:	    0.1713[1.5338]
Parameters3&14:	    0.6175[2.0550]
Parameters3&15:	    0.1239[1.4320]
Parameters3&16:	    2.6851[3.6154]
Parameters3&17:	    2.2738[3.4365]
Parameters3&18:	    0.3741[1.6836]
Parameters3&19:	    4.0394[4.4098]
Parameters3&20:	    0.3279[1.7255]
Parameters3&21:	    0.5260[1.8928]
Parameters3&22:	    0.4825[1.8490]
Parameters3&23:	    2.7041[3.5418]
Parameters3&24:	    2.4393[3.2193]
Parameters3&25:	    0.6474[2.1581]
Parameters3&26:	    1.2390[2.7694]
Parameters3&27:	    1.4522[2.7832]
Parameters3&28:	    0.8225[2.3447]
Parameters3&29:	    0.7232[2.0341]
Parameters3&30:	    1.5426[2.7102]
Parameters3&31:	    0.1359[1.4651]
Parameters3&32:	    4.4370[4.4429]
Parameters3&33:	    0.8637[2.4277]
Parameters3&34:	    0.6419[2.0228]
Parameters3&35:	    0.0752[1.5354]
Parameters3&36:	    1.2685[2.5500]
